Date,workoutId,exerciseId,singleSetId,exerciseName,reps,weight,fake_user_id
2021-04-20,d8UGifzLwX,dFycDkJyHe,6bfJ7ZJnUm,Dumbbell Shoulder Raise,8,5.0,fake_id_855
2021-02-12,jEfchMTPMk,BTmBzxhAmZ,JrBKaOChJx,Dumbbell Pullover,13,6.8038936415345965,fake_id_894
2021-09-04,4PXrJAMQkp,KVt5QRq9Hx,8WffaNYZwf,Side Laterals to Front Raise,10,2.267964547178199,fake_id_865
2021-02-08,mueGhp0aJw,5hsZsuO5vt,sjF2FO4THA,Single Leg Hip Thrust,10,0.0,fake_id_881
2021-09-14,iRj0SZMJSl,w5njIJMJHb,AM93RrqCja,Kettlebell Upright Row,13,24.947610018960187,fake_id_847
2021-05-30,EajeSMqKON,LDHzRzwxaI,DObbArS7da,Exercise Ball Push Up,10,0.0,fake_id_847
2021-10-23,g8i6VmqW5x,6wga8VycHO,TPYKj11zD2,Clean Deadlift,3,50.0,fake_id_849
2021-05-22,2H269V8KtC,aIzmfLklht,6XB3ssaUcS,Dumbbell Step Up,12,5.669911367945497,fake_id_853
2021-10-22,cGz0nPNabD,Gx6Z2fevPD,xk5BL77caj,Incline Dumbbell Row,8,13.607787283069193,fake_id_842
2021-05-31,w9tNGhDfOa,UQBXLgsfXN,MB4pwZbBfU,Dumbbell Shrug,15,24.947610018960187,fake_id_869
2021-03-18,0ml6auHN03,s5tzCNPRXw,A9B1zduhAn,Lunge Jump,10,0.0,fake_id_858
2021-11-18,mf0tnVItPd,uHBREgyju0,esbmcz5CpG,Step Up,9,0.0,fake_id_878
2021-08-20,6CS0KYQgWi,JyjzR9GyUB,oUicnksC9s,TRX Pike,9,0.0,fake_id_834
2021-08-25,fswuAPkg1f,BN1DjSE1Zi,hRZcPgzHKZ,Romanian Deadlift,10,29.483539113316585,fake_id_848
2021-12-03,CIAXQ1XdoF,N6zu9IJNBz,89xiC7karx,Leg Raise,18,0.0,fake_id_900
2021-10-14,dwUAiHzAoZ,ACSgVaipTW,BdwZnzF0VN,Dumbbell Squeeze Press,10,22.67964547178199,fake_id_883
2021-07-17,aP5FR6VyBI,DdtF1OFcuQ,h1Oy3OFnNG,Tricep Push Up,9,0.0,fake_id_848
